status,book_id,book_title,book_author,source,source_id,match_score,matched_title,matched_author,cover_url,isbn_10,isbn_13,fields_to_update
updated,a74c2465-d83b-401c-bc35-da5ca422c37d,Steve Jobs,Walter Isaacson,google_books,8U2oAAAAQBAJ,1.0,Steve Jobs,Walter Isaacson,https://books.google.com/books/content?id=8U2oAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1451648545,9781451648546,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,a384ffe4-24c8-4e3c-94c2-68071b8f6629,The Power of Habit,Charles Duhigg,google_books,syiPEAAAQBAJ,1.0,The Power of Habit,Charles Duhigg,https://books.google.com/books/content?id=syiPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,081298160X,9780812981605,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,ba6ab50c-97df-4857-a85f-948b3477aa9b,The Psychology of Money,Morgan Housel,google_books,TnrrDwAAQBAJ,1.0,The Psychology of Money,Morgan Housel,https://books.google.com/books/content?id=TnrrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,085719769X,9780857197696,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,b3093f83-7408-4106-afa3-b10609c5c8f8,The Fountainhead,Ayn Rand,google_books,Go9kAAAAMAAJ,1.0,The Fountainhead,Ayn Rand,https://books.google.com/books/content?id=Go9kAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0452286751,9780452286757,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,666414b0-7471-4427-ab68-ca94234775f6,High Output Management,Andrew S. Grove,google_books,3j8si29hddwC,1.0,High Output Management,Andrew S. Grove,https://books.google.com/books/content?id=3j8si29hddwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,0679762884,9780679762881,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,7a0a32c3-3631-4445-8f2e-b5a5fbba59b7,Tao Te Ching,Lao Tzu,google_books,OVcbCwAAQBAJ,1.0,Tao Te Ching,Lao Tzu,https://books.google.com/books/content?id=OVcbCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,8416099561,9788416099566,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,b363ed11-2171-4bcc-96a7-a4d7712ef5b8,When Breath Becomes Air,Paul Kalanithi,google_books,13vRjgEACAAJ,1.0,When Breath Becomes Air,Paul Kalanithi,https://books.google.com/books/content?id=13vRjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1410487857,9781410487858,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,16f2b6f7-95ed-4485-a9ab-fb1aab0c1bfd,Influence,"Robert B. Cialdini, PhD",google_books,5dfv0HJ1TEoC,1.0,Influence,"Robert B. Cialdini, PhD",https://books.google.com/books/content?id=5dfv0HJ1TEoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0061899879,9780061899874,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,fee3336f-14bc-41f5-a277-e4635e04e8b0,Factfulness,Hans Rosling,google_books,4frexgEACAAJ,1.0,Factfulness,Hans Rosling,https://books.google.com/books/content?id=j-4yDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,8829534994,9788829534999,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,8d8d40e2-a80b-47dc-93dd-f1c4ccba255a,Think and Grow Rich,Napoleon Hill,google_books,sJIJEQAAQBAJ,1.0,Think And Grow Rich,Napoleon Hill,https://books.google.com/books/content?id=sJIJEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0990797619,9780990797616,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
