status,object_path,filename,public_url,book_id,book_title,book_author,old_cover_image_url
updated,Phenomenology of Spirit.png,Phenomenology of Spirit.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Phenomenology%20of%20Spirit.png,aaf8304a-166f-48c7-86a3-743be1300bac,Phenomenology of Spirit,G. W. F. Hegel,Phenomenology of Spirit.png
updated,Photographers Eye.png,Photographers Eye.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Photographers%20Eye.png,c657eef1-5b01-4676-a682-712e38f66c09,Photographers Eye,Michael Freeman,Photographers Eye.png
updated,"Piano Adventures Lesson Book, Primer Level.png","Piano Adventures Lesson Book, Primer Level.png",https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Piano%20Adventures%20Lesson%20Book%2C%20Primer%20Level.png,1a159f86-1f68-4b84-a1a7-c8df688291aa,"Piano Adventures Lesson Book, Primer Level",,"Piano Adventures Lesson Book, Primer Level.png"
updated,Picasso and the Girl with a Ponytail.png,Picasso and the Girl with a Ponytail.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Picasso%20and%20the%20Girl%20with%20a%20Ponytail.png,1c63efca-f655-4f31-abac-4f60c1e82e48,Picasso and the Girl with a Ponytail,Laurence Anholt,Picasso and the Girl with a Ponytail.png
updated,Pirate Mom.png,Pirate Mom.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Pirate%20Mom.png,97a217cd-12ba-4ef5-9671-245727925432,Pirate Mom,Deborah Underwood,Pirate Mom.png
updated,Pirate Pete.png,Pirate Pete.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Pirate%20Pete.png,db1d2712-d5c4-4d5f-826a-57b855d8be37,Pirate Pete,Kim Kennedy,Pirate Pete.png
updated,Pirates Go to School.png,Pirates Go to School.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Pirates%20Go%20to%20School.png,89ede0e8-0f56-4182-b039-d16570170e47,Pirates Go to School,Corinne Demas,Pirates Go to School.png
updated,Pirates Past Noon.png,Pirates Past Noon.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Pirates%20Past%20Noon.png,4bd2caa5-bd6d-41ba-abe7-31b276c41fa9,Pirates Past Noon,Mary Pope Osborne,Pirates Past Noon.png
updated,"Polar Bear, Polar Bear, What Do You Hear.png","Polar Bear, Polar Bear, What Do You Hear.png",https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Polar%20Bear%2C%20Polar%20Bear%2C%20What%20Do%20You%20Hear.png,53d42bc6-8e43-489d-8db7-8c67806d3bef,"Polar Bear, Polar Bear, What Do You Hear",Bill Martin Jr.,"Polar Bear, Polar Bear, What Do You Hear.png"
updated,Political Order and Political Decay.png,Political Order and Political Decay.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Political%20Order%20and%20Political%20Decay.png,8c38810c-9b05-442a-873c-48dd914c30f5,Political Order and Political Decay,Francis Fukuyama,Political Order and Political Decay.png
updated,Poop! There it is!.png,Poop! There it is!.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Poop%21%20There%20it%20is%21.png,aff12d8c-adbd-4b78-8d17-ca0a1345bdd2,Poop! There it is!,Xavier Finkley,Poop! There it is!.png
updated,Pop Manga Coloring Book.png,Pop Manga Coloring Book.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Pop%20Manga%20Coloring%20Book.png,aea1cfa3-645e-4793-b0d7-845057191358,Pop Manga Coloring Book,Camilla D'Errico,Pop Manga Coloring Book.png
updated,Positivity.png,Positivity.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Positivity.png,f8d6fd7d-80c3-4695-94af-0c0ea9f10f32,Positivity,Barbara Fredrickson,Positivity.png
updated,Potlimit Omaha Poker.png,Potlimit Omaha Poker.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Potlimit%20Omaha%20Poker.png,f5f577ed-98dd-4498-953f-29fb84c829f5,Potlimit Omaha Poker,Jeff Hwang,Potlimit Omaha Poker.png
updated,Potty Time with Elmo (Sesame Street).png,Potty Time with Elmo (Sesame Street).png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Potty%20Time%20with%20Elmo%20%28Sesame%20Street%29.png,e003fbb1-9c6a-434a-ba5d-01f6e3df7090,Potty Time with Elmo (Sesame Street),PI Kids,Potty Time with Elmo (Sesame Street).png
updated,"Practice of Cloud System Administration, The.png","Practice of Cloud System Administration, The.png",https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Practice%20of%20Cloud%20System%20Administration%2C%20The.png,b246b6b5-d44c-49f9-8182-98b8e76f975e,"Practice of Cloud System Administration, The",Thomas Limoncelli,"Practice of Cloud System Administration, The.png"
updated,Prairie Fires.png,Prairie Fires.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Prairie%20Fires.png,8ced30d2-2725-4896-9c2e-55272280f3b4,Prairie Fires,Caroline Fraser,Prairie Fires.png
updated,Principles of Genetics.png,Principles of Genetics.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Principles%20of%20Genetics.png,55e0e80f-6a71-4b3b-93b7-644475b65878,Principles of Genetics,Gardner,Principles of Genetics.png
updated,Principles of Muscle Building Program Design.png,Principles of Muscle Building Program Design.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Principles%20of%20Muscle%20Building%20Program%20Design.png,efc3f813-aac9-42ab-b6e7-7e283b8bfbaa,Principles of Muscle Building Program Design,Nick Mitchell,Principles of Muscle Building Program Design.png
updated,Principles of Quantum Mechanics.png,Principles of Quantum Mechanics.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Principles%20of%20Quantum%20Mechanics.png,c689c31d-4198-4e2f-a2dc-160e76ea98f4,Principles of Quantum Mechanics,R. Shankar,Principles of Quantum Mechanics.png
updated,Produce Your Own Damn Movie!.png,Produce Your Own Damn Movie!.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Produce%20Your%20Own%20Damn%20Movie%21.png,33cbfbca-80e1-4ea0-9947-6cc8dbf2f01a,Produce Your Own Damn Movie!,Lloyd Kaufman,Produce Your Own Damn Movie!.png
updated,Project Management Case Studies.png,Project Management Case Studies.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Project%20Management%20Case%20Studies.png,223e8252-bd09-446e-98f7-8acd0523a2ef,Project Management Case Studies,Harold Kerzner,Project Management Case Studies.png
